random,jackets,brian,spartan,lam,team,player,ratings,salary,years,pitch
,,,,,Montreal Mounties,Berkley Cochrane,CB 26y 60 60,11.05,1,"Being overlooked, whether it be in your job, in your personal life, or even literally, is perhaps one of the worst feelings in the world. People criticized you for something you could not control, and that made you fall in the draft. It's not your fault you're 5'4, you can't control that.

But instead of giving up, you rose to the occasion. Everything that was under control you refined, you improved. You worked hard to become a crucial rotation piece in a team that won three super bowls.

Yet, you still seem overlooked. You are not the top free-agent prospect in any other team's eyes. They still see you as an extremely undersized cornerback who just got drafted to the right team.

But we dont.

The Montreal Mounties organization is going to offer you the opportunity to prove yourself to the AFF. A one-year, 11.05 million dollar contract, along with a practically guaranteed starting position. If you succeed, and we believe you will, you will finally win perhaps the only thing greater than a Super Bowl ring.

The validation of the AFF, the recognition of your talent.

We expect to see you in training camp,

El Griegongolongo,
Montreal Mounties General Manager
"
,,,,,New York Bankers,Berkley Cochrane,CB 26y 60 60,20.0,1,"New York rhymes with screw pork, join us on our journey to screw pork!"
,,,,,Pittsburgh Rivers,Berkley Cochrane,CB 26y 60 60,15.0,2,
,,,,,Los Angeles Earthquakes,Brandon Matute,QB 25y 51 56,5.0,2,Compete for the starting job
,,,,,Portland Roses,Brandon Matute,QB 25y 51 56,14.0,2,
,,,,,San Antonio Churros,Brandon Matute,QB 25y 51 56,6.5,2,
,,,,,Mexico City Aztecs,Brandon Matute,QB 25y 51 56,8.8,2,"Hello Brandon,

The Mexico City Aztecs would like to sign you to be our backup QB for this season and possibly the QB of our future. We've got all the pieces in place apart from a capable backup QB, and we think you're going to fill that role, and hopefully even more.

We're committed to bringing a Super Bowl to Mexico City. We've gone to the playoffs twice in the last two years under my tenure, and reached the Super Bowl in my first season.

I understand that our contract offer may not be lucrative compared to other teams, but we offer you what other teams can't. A chance to have your name written in the history books as ""Brandon Matute - Super Bowl Champion."" No one's ever really given you a shot. St. Louis  didn't give you the pieces to win. New York was committed to the tank. Kansas City didn't even let you see the field. We're different.

We're offering you a two year contract so that if you step into a starting role, we can pay you as such. You deserve to have your talents recognized, and this deal gives you that flexibility. You'd be able to negotiate a new contract at 27 years old, in your prime.

Take our offer. Win a ring as a backup this season. Then be the QB of our future.

We look forward to you joining us in Mexico City. Our fans can't wait to see you on the field.

Best,
Spartan
Mexico City Aztecs GM"
,,,,,Detroit Muscle,Chrislain Badiane,RB 29y 55 55,3.0,2,
,,,,,Tampa Turtles,Chrislain Badiane,RB 29y 55 55,5.95,1,You’re not old or out of your prime- you’re young to me and I promise I can and will get you that championship ring you just gotta sign with the turtles I know it’s one year but that’s all you’re going to need to be a champion for the turtles - imagine you run home the game winning touch down bodying players as you past proving my age isn't a factor it’s experience - sign with us today
,,,,,New York Bankers,Chrislain Badiane,RB 29y 55 55,4.0,1,
,,,,,Los Angeles Earthquakes,Demarco Otah,WR 22y 32 44,0.5,3,
,,,,,Portland Roses,Demarco Otah,WR 22y 32 44,0.5,2,
,,,,,San Antonio Churros,Devon Patrick,S 25y 51 57,2.5,2,
,,,,,Dallas Snipers,Devon Patrick,S 25y 51 57,2.65,3,Get a chance to play for a playoff team Nd help us take the next level
,,,,,Montreal Mounties,Eric Kitchens,CB 27y 51 52,2.5,2,"The Montreal Mounties are looking to address current team needs, and you fit the bill perfectly. To succeed next season, we need to address our depth in the secondary. This is where you come in. We want to get players who could be potential starters in our young secondary.

Because of this need, we are offering you a 5 million dollar contract over the next 2 seasons. (that is to say, 2.5 million per year) This is a very competitive deal that we hope you consider.

We expect to see you in training camp,
El Griegongolongo, Montreal Mounties General Manager"
,,,,,Detroit Muscle,Eric Kitchens,CB 27y 51 52,2.0,2,
,,,,,St. Louis Spirits,Jackson Ma'ae,OL 26y 62 67,9.1,4,You will be an immeadiate starter on the OL for us we are getting better fast and we need someone like you. 
,,,,,Cleveland Curses,Jackson Ma'ae,OL 26y 62 67,10.8,3,
,,,,,Mexico City Aztecs,Jared Bono,WR 25y 56 61,5.0,3,"Hello Jared,

The Mexico City Aztecs would like to sign you to be our #1 WR for this season and beyond. We've got all the pieces in place apart from a top WR, and we think you're going to be our new offensive star.

We're committed to bringing a Super Bowl to Mexico City. We've gone to the playoffs twice in the last two years under my tenure, and reached the Super Bowl in my first season. That season, I had an All-Pro Wide Receiver on my team, Joel Southall. I'm sure you know him.

We moved on from Joel because of our interest in you. Your athleticism, your consistency, your desire to be great, they all shine. You embody what it means to be an Aztec. We may not offer you as high a contract as others will, but you would be stepping into one of the best offenses in the league. Marko Perovic throwing you passes, Frank Jackson pounding the ball through defenses, and hopefully you. Dominating DB's every game. 

Will you join us on our chase for a ring?

Best,
Spartan
Mexico City Aztecs GM"
,,,,,Detroit Muscle,Jared Bono,WR 25y 56 61,4.5,2,
,,,,,San Antonio Churros,Jayce Auslander,OL 29y 62 62,7.0,1,
,,,,,New York Bankers,Jayce Auslander,OL 29y 62 62,11.0,1,
,,,,,Houston Apollos,Jayce Auslander,OL 29y 62 62,8.0,2,
,,,,,San Antonio Churros,John Engstrom,OL 26y 65 68,11.66,2,
,,,,,San Antonio Churros,John Engstrom,OL 26y 65 68,11.66,2,
,,,,,Baltimore Crabs,John Engstrom,OL 26y 65 68,16.0,1,
,,,,,Los Angeles Earthquakes,Lee Boykin,OL 22y 39 53,0.75,5,
,,,,,Portland Roses,Lee Boykin,OL 22y 39 53,0.6,3,
,,,,,New York Bankers,Mark Carter,DL 28y 64 64,14.3,1,"New York rhymes with screw pork, join us on our journey to screw pork!"
,,,,,Montreal Mounties,Mark Carter,DL 28y 64 64,8.02,2,rush the passer and take his ball out of his hands here.
,,,,,Los Angeles Earthquakes,Salim Hinkley,K 21y 49 66,1.0,5,Starting kicker immediately
,,,,,Sacramento Gold Rush,Salim Hinkley,K 21y 49 66,5.0,1,its 5 million dollars
,,,,,Las Vegas Blue Chips,Shane Sokol,OL 25y 61 69,13.0,3,We need a sturdy O line to make a deep playoff run and we think you’d be a crucial addition to our team.
,,,,,San Antonio Churros,Shane Sokol,OL 25y 61 69,9.0,2,"Hello Shane! The Churros would like to welcome you down to sunny San Antonio! We know that you hate losing after being on the terrible Whalers for the past 4 seasons. Although we may not be the best team right now, we are determined to win. We have a stack of picks at our dispense and we can easily build a playoff team. However, we aren't just aiming for the playoffs. We are aiming for the superbowl. And the trophy. The trophy we think you can help get for us. We want to win and we want to win with you Shane!"
