Timestamp,Discord Username,Team Name,The Player You Want To Sign,Average Annual Value (AAV) ,Number of Years (1-5),"Pitch (optional, increases chances)"
8/24/2020 15:44:56,Val,Baltimore Crabs,Al Cryer,26.5,5,"Yo yo cryer whats good, you should come to Baltimore because we always got goated system qb’s and if ur unhappy we can trade u"
8/24/2020 15:54:36,ThiccThanos,Seattle Symphony,Al Cryer,30,5,"Hi, Mr, Cryer. We the Seattle Symphony would be absolutely in love with you joining our team! Seattle has the best FO in the league as our GMs are ranked 3rd and 9th in GM rankings. Our team is in dire need of an elite QB and you fit the description perfectly! You have been a top notch QB for your career with the Mounties and you have something that our team needs and that is playoff experience! We have the right pieces to contend in all positions outside of QB and if you join us our team will be in a 100% playoff spot. We have the right pieces at RB with Ahmad Lilly who was the best backup RB in the league getting 139 rushes, 716 yards, 5.2 avg, 7 TDs! We as have the RBTY in Reshawn Boozer! He dominated as a rookie getting 2,140 yards of scrimmage and 14 total TDs! He had a very healthy balance of rushing and receiving with 7 TDs rushing and receiving. Also getting decently balanced yardage. With 1,168 rushing yards and 972 receiving yards! Almost had 1k yards in both! Our receiving core is very good as we have Forrest Miller a WR/TE hybrid who can block and get good yardage with his power and strength! Joe Sabbat was our balanced WR who has a good combination of height and speed! He can be very very dangerous if he has a strong arm QB throwing jump balls to him! Tyreece Griffiths
is our speedster as he can just beat his defender in a race 9 times out of 10 his potential is yet to be met and we believe you can get the best out of him! Now at TE we have a potential HOFer in Ryan Johnson! He is one of the most polished and fundamentally sound TEs ever. He has an unbelievable balance of height, strength, route running, hands and his great run blocking! Our offensive line is very solid as it helped Boozer and Lilly get the number 1 rushing game in the league. Our defense was very good too throughtout the season we had the number 1 ranked defense until injuries hit us but our defense is very young and are expected to all get better! Our defensive line the best best young core, our LBs are the best young core, our Safeties were elite in production as one of them made the pro-bowl and our CBs are young and good and are expected to get even better! The young defense overall finished 8th which is very good considering the injures! This situation is the best for you, Mr. Cryer! You get to have an elite receiving core, the best TE duo in Johnson and Miller, a good OL, the best RB duo in the league with the best RB in the league, the best young DL core, the best young LB core, an elite safety duo, and a young and good CB duo! All we need is a QB and you are more than the minimum we can get you are the best we can get! You get all the credit of our success and fame as our team is practically built for your play! You get paid the best too maximum amount of years and the maximum money which is what you deserve. This is the best spot for you in all circumstances and ways, so join the Seattle Symphony Mr. Cryer we would be very pleasured to have you here. "
8/24/2020 23:22:27,Just Ballin,Boston Massacre,Al-Quadin Thomas,1.1,3,
8/24/2020 9:45:47,buck,San Francisco Venture Capitalists,Ameer Schilling,6.6,1,
8/24/2020 22:42:37,Random,Montreal Mounties,Andrew Allen,6,2,
8/23/2020 18:10:22,Thad Ladson,Phoenix Vultures,Andrew Johnson,0.9,2,
8/24/2020 16:05:07,Just Ballin,Boston Massacre,Andy Halverson,8,3,We think that you would fit great with our defense and will get plenty of playing time to assert yourself as one of the best defenders in the league and get your 💰
8/24/2020 23:19:54,Just Ballin,Boston Massacre,Andy Halverson,7.1,3,
8/25/2020 7:40:32,Scotty ,Tampa Turtles,Andy Halverson ,8,3,"Sign with us, be a champion lead this team to greatness "
8/25/2020 11:55:33,Agombar,Pittsburgh Rivers,Ben Barnett,0.5,5,
8/24/2020 22:57:58,Just Ballin,Boston Massacre,Ben Leake,4,3,
8/25/2020 0:57:04,Dalphix,Minneapolis Blizzard,Ben Leake,18.5,3,"Ben, we have let you go before, and we aren't about to make the same mistake again. We've decided that you are franchise QB material, and are thus paying you like one. After 2 seasons here, you're more than familiar with our offense and the elite weapons we have, so there isn't much to lose; come back to the team that helped you grow into a quality QB, and lead us to postseason success."
8/24/2020 20:22:10,lam_chop19,San Antonio Churros,Ben Leake ,14.4,4,
8/23/2020 18:26:58,RMTGames,Chicago Whirlwinds,Ben Lefebvre,0.5,1,"Hi Ben, we would like you to come round out our safety squad. Come join us here in Chicago, we'll take you out for deep dish."
8/24/2020 14:20:08,Darkhour,Miami Cyclones,Blake Lyons,5,1,
8/25/2020 5:50:22,Fingal,Denver High,Brad McBath,2,5,You want a job? Tell your moma you got a job!
8/25/2020 8:31:31,Spartan,Detroit Muscle,Brad McBath,6,3,"Hello Brad,

I'm reaching out as the AGM of the Detroit Muscle to sign you to a 3 year, 6 million dollar contract to be a starting offensive lineman for our organization. Our organization is going through a full rebuild, and we've kickstarted the process by opening up cap room and drafting young, and extremely talented rookies at QB and OL. Your experience would go a very long way in bolstering our OL for our rookie QB and to be part of the backbone for our offense.

I've long held the mentality that the offensive line is the key to a team's success. With the changes we're going through, Detroit is reaching out to multiple young OL to give them the opportunity to spark their careers on a very young team. We'd like to grow together, and set up the core of this team for future success. You're a huge part of that, and we'd love to have you as part of this organization under renewed front office personnel.

Best,
Spartan
Detroit AGM"
8/25/2020 11:46:42,Agombar,Pittsburgh Rivers,Brad McBath,2,5,"Hey Brad, here in Pitt we have been able to continuously compete in a tough division and have unfortunately come up short. As our youth continues to develop and as other teams decide to tank we shall continue to improve. This year will be our best year to compete and you'll be joining an already star-studded roster. We only need a few pieces left like yourself to be ready for that championship run. We hope you seriously consider our offer. "
8/25/2020 11:58:36,Agombar,Pittsburgh Rivers,Brandon Lugo,0.5,5,
8/25/2020 11:59:28,Agombar,Pittsburgh Rivers,Brock Jackson,0.5,5,
8/24/2020 16:09:47,Just Ballin,Boston Massacre,Bryan Sterner,2,5,
8/24/2020 15:51:35,Atomicman18,Sacramento Gold Rush,Bryan Sterner,12,3,"Bryan, 

The Sacramento Gold Rush is excited to present you with the aforementioned to join our franchise. Our intention is to be very aggressive this offseason and it is our intention to not only target you, but others around you to help solidify our secondary and defense in general. We have been impressed with your career so far and believe you can help turn this into a successful program going forward. 

We understand that our program hasn't been the most appealing in the past, but under new management our expectation is to put us in a position to chase playoff appearances and more in the coming years. We had a very successful draft and now we believe we can make a large impact with this free agency period. 

Our plan is to pair you with Klugey in order to define one of the most potent secondaries in the entire league. You will be asked to lead on and off the field as we set to change the culture here. We feel that pairing you with another high level safety will allow you to continue to improve your production and turn our defense into a unit that has a major impact on our success. 

Our management is committed into turning this thing around and you can be one of the most important pieces in that process. We hope that you will consider this opportunity and enjoy the opportunity of changing the culture here in Sacramento. 

We look forward to hearing from you! "
8/24/2020 14:00:18,lam_chop19,San Antonio Churros,Bryan Sterner,11.5,3,
8/24/2020 15:49:14,saucypillow,San Diego Pandas,Bryan Sterner,10,5,
8/24/2020 14:40:42,Scotty general,Tampa Turtles,Bryan Sterner ,11,4,"Hey man, it’s the coach of the turtles, you’re a captain we can see that, you have the power to lead this team to our first championship, you can get a ring with us, experience it with with us, sign today "
8/25/2020 11:54:05,Agombar,Pittsburgh Rivers,Buck Watson,1,5,
8/25/2020 11:57:12,Agombar,Pittsburgh Rivers,Cedarius Baugh,0.5,5,
