picknumber,contract
1,8
2,7.82
3,7.65
4,7.48
5,7.32
6,7.15
7,6.99
8,6.83
9,6.67
10,6.51
11,6.36
12,6.2
13,6.05
14,5.9
15,5.76
16,5.66
17,5.47
18,5.33
19,5.19
20,5.05
21,4.92
22,4.78
23,4.65
24,4.52
25,4.4
26,4.27
27,4.15
28,4.03
29,3.91
30,3.79
31,3.68
32,3.56
33,3.45
34,3.34
35,3.24
36,3.13
37,3.03
38,2.93
39,2.83
40,2.73
41,2.64
42,2.54
43,2.45
44,2.36
45,2.28
46,2.19
47,2.11
48,2.03
49,1.95
50,1.87
51,1.8
52,1.72
53,1.65
54,1.58
55,1.52
56,1.45
57,1.39
58,1.33
59,1.27
60,1.21
61,1.16
62,1.1
63,1.05
64,1
65,0.96
66,0.91
67,0.87
68,0.83
69,0.79
70,0.75
71,0.72
72,0.68
73,0.65
74,0.62
75,0.6
76,0.57
77,0.55
78,0.53
79,0.51
80,0.5
81,0.5
82,0.5
83,0.5
84,0.5
85,0.5
86,0.5
87,0.5
88,0.5
89,0.5
90,0.5
91,0.5
92,0.5
93,0.5
94,0.5
95,0.5
96,0.5
97,0.5
98,0.5
99,0.5
100,0.5
101,0.5
102,0.5
103,0.5
104,0.5
105,0.5
106,0.5
107,0.5
108,0.5
109,0.5
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,0.5
121,0.5
122,0.5
123,0.5
124,0.5
125,0.5
126,0.5
127,0.5
128,0.5
129,0.5
130,0.5
131,0.5
132,0.5
133,0.5
134,0.5
135,0.5
136,0.5
137,0.5
138,0.5
139,0.5
140,0.5
141,0.5
142,0.5
143,0.5
144,0.5
145,0.5
146,0.5
147,0.5
148,0.5
149,0.5
150,0.5
151,0.5
152,0.5
153,0.5
154,0.5
155,0.5
156,0.5
157,0.5
158,0.5
159,0.5
160,0.5
161,0.5
162,0.5
163,0.5
164,0.5
165,0.5
166,0.5
167,0.5
168,0.5
169,0.5
170,0.5
171,0.5
172,0.5
173,0.5
174,0.5
175,0.5
176,0.5
177,0.5
178,0.5
179,0.5
180,0.5
181,0.5
182,0.5
183,0.5
184,0.5
185,0.5
186,0.5
187,0.5
188,0.5
189,0.5
190,0.5
191,0.5
192,0.5
193,0.5
194,0.5
195,0.5
196,0.5
197,0.5
198,0.5
199,0.5
200,0.5
201,0.5
202,0.5
203,0.5
204,0.5
205,0.5
206,0.5
207,0.5
208,0.5
209,0.5
210,0.5
211,0.5
212,0.5
213,0.5
214,0.5
215,0.5
216,0.5
217,0.5
218,0.5
219,0.5
220,0.5
221,0.5
222,0.5
223,0.5
224,0.5
225,0.5
226,0.5
227,0.5
228,0.5
229,0.5
230,0.5
231,0.5
232,0.5
233,0.5
234,0.5
235,0.5
236,0.5
237,0.5
238,0.5
239,0.5
240,0.5
241,0.5
242,0.5
243,0.5
244,0.5
245,0.5
246,0.5
247,0.5
248,0.5
249,0.5
250,0.5
251,0.5
252,0.5
253,0.5
254,0.5
255,0.5
256,0.5
